X	X	43	88
一	yi	44	3856
丁	ding	23	3083518
七	qi	36	3608
万	wan	42	117476
丈	zhang	45	115864556
三	san	38	113632
上	shang	38	109399909
下	xia	43	118672
不	bu	21	3155
与	yu	44	3868
丑	chou	22	3052811
专	zhuan	45	115883380
且	qie	36	111949
世	shi	38	113844
丙	bing	21	3023936
业	ye	44	3852
丛	cong	22	3059493
东	dong	23	3089284
丝	si	38	3670
丢	diu	23	99472
两	liang	31	102965053
严	yan	44	119398
丧	sang	38	3522695
个	ge	26	3294
丫	ya	44	3848
中	zhong	45	115878010
丰	feng	25	3139256
串	chuan	22	94642397
临	lin	31	107153
丸	wan	42	117476
丹	dan	23	99217
为	wei	42	117595
主	zhu	45	120583
丽	li	31	3453
举	ju	29	3403
乃	nai	33	108822
久	jiu	29	105238
么	me	32	3480
义	yi	44	3856
之	zhi	45	120571
乌	wu	42	3806
乍	zha	45	120563
乎	hu	27	3341
乏	fa	25	3259
乐	le	31	3449
乒	ping	35	3441010
乓	pang	35	3433322
乔	qiao	36	3470406
乖	guai	26	3184022
乘	cheng	22	94627417
乙	yi	44	3856
九	jiu	29	105238
乞	qi	36	3608
也	ye	44	3852
习	xi	43	3825
乡	xiang	43	114047305
书	shu	38	113856
买	mai	32	107861
乱	luan	31	3332982
乳	ru	37	3651
乾	gan	26	102100
了	le	31	3449
予	yu	44	3868
争	zheng	45	115868400
事	shi	38	113844
二	er	24	3245
于	yu	44	3868
亏	kui	30	106559
云	yun	44	120018
互	hu	27	3341
五	wu	42	3806
井	jing	29	3262264
亚	ya	44	3848
些	xie	43	118676
亡	wang	42	3641859
亢	kang	30	3284367
交	jiao	29	3261869
亥	hai	27	103056
亦	yi	44	3856
产	chan	22	3052370
亩	mu	32	3496
享	xiang	43	114047305
京	jing	29	3262264
亭	ting	39	3560174
亮	liang	31	102965053
亲	qin	36	111958
人	ren	37	112795
亿	yi	44	3856
什	shen	38	3529150
仁	ren	37	112795
仅	jin	29	105231
仇	chou	22	3052811
今	jin	29	105231
介	jie	29	105222
仍	reng	37	3496748
从	cong	22	3059493
仑	lun	31	107525
仓	cang	22	3046039
仔	zi	45	3887
仕	shi	38	113844
他	ta	39	3693
仗	zhang	45	115864556
付	fu	25	3279
仙	xian	43	3678942
代	dai	23	99212
令	ling	31	3321846
以	yi	44	3856
仪	yi	44	3856
们	men	32	107990
仰	yang	44	3701441
仲	zhong	45	115878010
件	jian	29	3261868
价	jia	29	105218
任	ren	37	112795
份	fen	25	101263
仿	fang	25	3135412
企	qi	36	3608
伊	yi	44	3856
伍	wu	42	3806
伎	ji	29	3391
伏	fu	25	3279
伐	fa	25	3259
休	xiu	43	118692
众	zhong	45	115878010
优	you	44	119839
伙	huo	27	103682
会	hui	27	103676
伞	san	38	113632
伟	wei	42	117595
传	chuan	22	94642397
伤	shang	38	109399909
